order_id,customer_id,product,region,channel,order_date,year,revenue
4,CUST012,pixel,europe,partner,2022-08-26,2022,667
11,CUST037,iphone,europe,partner,2023-09-16,2022,336
18,CUST011,xiaomi,south_america,online,2024-05-25,2022,367
20,CUST043,pixel,asia,online,2023-07-20,2022,549
21,CUST011,xiaomi,north_america,retail,2024-06-13,2022,1062
24,CUST002,xiaomi,south_america,retail,2022-06-18,2022,581
34,CUST001,pixel,south_america,online,2022-03-14,2022,1299
38,CUST019,oneplus,south_america,online,2024-08-17,2022,1408
42,CUST038,oneplus,north_america,retail,2023-06-15,2022,1086
47,CUST036,iphone,north_america,partner,2021-01-22,2022,745
53,CUST034,samsung,north_america,partner,2024-05-26,2022,953
59,CUST003,oneplus,asia,online,2021-05-14,2022,898
66,CUST036,iphone,south_america,online,2024-01-16,2022,312
70,CUST001,oneplus,asia,retail,2022-06-22,2022,1498
71,CUST047,xiaomi,north_america,retail,2021-02-24,2022,628
72,CUST039,xiaomi,south_america,retail,2024-03-22,2022,1145
79,CUST041,iphone,north_america,partner,2023-01-13,2022,1446
86,CUST043,iphone,europe,online,2023-08-12,2022,834
88,CUST047,samsung,north_america,partner,2024-05-22,2022,1229
89,CUST020,oneplus,europe,online,2024-03-17,2022,360
92,CUST004,samsung,europe,partner,2022-01-23,2022,439
95,CUST027,pixel,europe,online,2021-04-11,2022,849
96,CUST018,iphone,south_america,retail,2021-09-12,2022,611
101,CUST004,pixel,asia,online,2021-09-22,2022,519
102,CUST021,pixel,south_america,retail,2023-01-13,2022,1498
106,CUST040,xiaomi,south_america,online,2021-05-27,2022,1478
110,CUST045,xiaomi,europe,retail,2021-01-14,2022,936
111,CUST029,oneplus,north_america,online,2022-04-28,2022,1411
112,CUST015,xiaomi,north_america,partner,2021-08-15,2022,1111
117,CUST021,samsung,south_america,retail,2024-01-16,2022,1190
142,CUST047,xiaomi,europe,partner,2021-06-19,2022,647
144,CUST021,xiaomi,south_america,retail,2021-07-28,2022,333
156,CUST013,iphone,south_america,retail,2022-08-23,2022,718
169,CUST028,pixel,south_america,retail,2024-09-20,2022,923
170,CUST034,samsung,south_america,retail,2022-04-27,2022,361
179,CUST050,xiaomi,north_america,retail,2023-03-11,2022,866
180,CUST046,pixel,europe,online,2023-08-18,2022,484
185,CUST024,xiaomi,south_america,partner,2024-04-14,2022,640
197,CUST050,iphone,asia,retail,2024-03-21,2022,302
200,CUST029,iphone,europe,online,2022-05-14,2022,806
202,CUST005,oneplus,north_america,partner,2021-01-20,2022,844
204,CUST047,pixel,asia,online,2022-09-18,2022,847
207,CUST030,samsung,asia,partner,2021-09-18,2022,1186
208,CUST044,samsung,europe,partner,2022-01-25,2022,523
215,CUST029,oneplus,europe,partner,2023-08-25,2022,915
230,CUST047,oneplus,asia,partner,2022-07-22,2022,785
231,CUST008,xiaomi,europe,partner,2023-01-14,2022,808
233,CUST048,samsung,asia,retail,2021-02-24,2022,1202
235,CUST044,oneplus,south_america,partner,2022-02-27,2022,1338
238,CUST029,oneplus,south_america,retail,2021-09-23,2022,628
240,CUST017,iphone,asia,partner,2023-08-21,2022,1013
241,CUST004,iphone,north_america,partner,2021-01-13,2022,748
247,CUST025,iphone,asia,online,2024-03-15,2022,459
249,CUST044,xiaomi,south_america,online,2021-05-14,2022,497
257,CUST044,xiaomi,europe,partner,2024-03-19,2022,674
259,CUST025,samsung,north_america,retail,2021-07-24,2022,1326
269,CUST012,samsung,south_america,retail,2023-01-17,2022,471
275,CUST034,xiaomi,north_america,retail,2021-08-23,2022,977
279,CUST037,xiaomi,south_america,partner,2021-04-15,2022,1479
288,CUST008,oneplus,north_america,retail,2023-01-14,2022,664
292,CUST046,oneplus,north_america,partner,2022-08-16,2022,480
293,CUST050,iphone,europe,partner,2022-01-25,2022,579
294,CUST034,iphone,north_america,retail,2021-01-22,2022,436
296,CUST005,iphone,south_america,retail,2022-04-18,2022,1134
297,CUST024,iphone,north_america,retail,2024-05-16,2022,591
299,CUST040,iphone,asia,online,2024-01-19,2022,414
306,CUST045,xiaomi,south_america,partner,2022-05-16,2022,948
309,CUST003,oneplus,europe,retail,2021-02-10,2022,626
311,CUST045,oneplus,europe,partner,2023-01-19,2022,1354
313,CUST004,pixel,north_america,partner,2024-05-10,2022,425
328,CUST044,xiaomi,north_america,retail,2021-06-27,2022,1000
335,CUST032,pixel,south_america,retail,2024-07-17,2022,432
338,CUST028,xiaomi,north_america,online,2021-03-10,2022,602
339,CUST004,iphone,north_america,retail,2021-01-17,2022,1416
344,CUST011,xiaomi,north_america,partner,2023-04-25,2022,1335
345,CUST044,iphone,south_america,online,2023-09-16,2022,551
346,CUST037,samsung,north_america,online,2022-03-26,2022,1117
349,CUST048,samsung,europe,partner,2022-08-16,2022,945
350,CUST010,xiaomi,europe,online,2023-03-23,2022,982
352,CUST028,samsung,asia,retail,2022-06-20,2022,771
354,CUST018,iphone,south_america,retail,2021-05-13,2022,731
356,CUST044,xiaomi,south_america,retail,2024-05-27,2022,879
357,CUST031,iphone,north_america,partner,2024-03-11,2022,1472
358,CUST048,xiaomi,europe,retail,2023-06-17,2022,1299
360,CUST045,oneplus,asia,retail,2024-04-12,2022,700
368,CUST050,xiaomi,asia,retail,2023-05-22,2022,474
369,CUST018,xiaomi,north_america,retail,2021-07-10,2022,1233
379,CUST007,samsung,south_america,retail,2024-03-15,2022,874
381,CUST025,xiaomi,europe,online,2024-08-17,2022,1147
382,CUST026,oneplus,asia,retail,2024-06-27,2022,762
388,CUST003,pixel,south_america,partner,2023-06-24,2022,867
389,CUST041,pixel,europe,online,2024-08-25,2022,586
395,CUST029,iphone,south_america,online,2023-03-22,2022,728
396,CUST028,iphone,north_america,partner,2022-01-17,2022,1300
397,CUST046,pixel,europe,partner,2024-02-28,2022,1110
414,CUST012,iphone,north_america,retail,2023-03-14,2022,484
429,CUST039,samsung,south_america,partner,2023-05-22,2022,348
433,CUST041,xiaomi,south_america,partner,2022-09-24,2022,1128
435,CUST042,xiaomi,south_america,online,2023-09-24,2022,907
438,CUST020,xiaomi,asia,retail,2021-02-20,2022,873
442,CUST030,iphone,europe,partner,2021-05-16,2022,1332
444,CUST002,oneplus,south_america,partner,2023-06-21,2022,1285
445,CUST012,samsung,europe,online,2024-05-26,2022,977
446,CUST042,samsung,south_america,online,2024-06-24,2022,912
448,CUST049,samsung,north_america,online,2023-05-25,2022,1329
451,CUST031,samsung,north_america,online,2021-01-10,2022,538
453,CUST003,samsung,south_america,retail,2023-03-10,2022,1261
460,CUST045,pixel,asia,retail,2022-01-27,2022,1088
461,CUST016,samsung,north_america,partner,2023-09-23,2022,963
462,CUST032,pixel,north_america,online,2024-06-27,2022,1263
463,CUST039,samsung,asia,online,2024-01-24,2022,915
465,CUST014,xiaomi,north_america,retail,2023-02-13,2022,926
468,CUST009,oneplus,europe,partner,2022-04-14,2022,724
470,CUST047,pixel,asia,online,2024-06-25,2022,610
475,CUST009,pixel,south_america,retail,2022-09-23,2022,618
478,CUST032,xiaomi,asia,retail,2024-03-25,2022,1022
483,CUST003,samsung,south_america,online,2023-05-15,2022,1498
484,CUST027,pixel,north_america,online,2023-05-27,2022,532
485,CUST014,pixel,north_america,retail,2021-01-25,2022,1296
487,CUST013,xiaomi,south_america,retail,2024-02-22,2022,474
505,CUST045,oneplus,europe,online,2023-07-13,2022,963
508,CUST017,iphone,south_america,partner,2023-03-19,2022,397
509,CUST032,pixel,asia,online,2024-08-28,2022,1014
511,CUST022,oneplus,europe,online,2024-01-17,2022,659
516,CUST033,iphone,asia,retail,2021-09-27,2022,1252
518,CUST025,samsung,south_america,online,2024-02-10,2022,473
519,CUST009,xiaomi,south_america,partner,2021-08-10,2022,1352
520,CUST020,iphone,north_america,online,2023-03-28,2022,1186
525,CUST008,pixel,north_america,online,2023-05-10,2022,444
530,CUST021,samsung,asia,online,2021-06-19,2022,1195
533,CUST022,iphone,north_america,online,2022-02-15,2022,1395
541,CUST018,oneplus,asia,partner,2022-07-27,2022,1327
551,CUST030,xiaomi,asia,online,2024-03-10,2022,1000
570,CUST008,oneplus,north_america,retail,2022-02-12,2022,1046
585,CUST033,oneplus,europe,online,2022-01-20,2022,1482
588,CUST030,iphone,asia,retail,2021-02-15,2022,1459
